German,English,Context
die Bank ,bank,Die Bank schließt schon um vier Uhr.
bar,cash,Muss ich bar zahlen oder geht‘s auch mit Karte?
bezahlen,to pay,Wo muss ich bezahlen?
bargeld,cash,Nehmen Sie bargeld?
die Karte,card,Kann ich mir Karte bezahlen?
der Geldautomat,ATM,Wo finde ich einen Geldautomaten?
die Bäckerei ,bakery,Ich geh mal schnell zur Bäckerei
einkaufen ,go shopping,Ich muss noch für morgen einkaufen.
der Kiosk ,kiosk,"Am Kiosk bekommen Sie Getränke, Zigaretten und"
kosten ,to cost,Wie viel kostet das? – 10 Euro.
der Laden ,shop,Im Buchladen können Sie Bücher kaufen.
das Doppelzimmer ,a double room,Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?
die Dusche ,shower,Unsere Wohnung hat nur eine Dusche.
das Bad ,bathroom,Wir haben kein großes Bad.
das Einzelzimmer,single room,Haben Sie noch ein Einzelzimmer?
der Eintritt,entry fee, Der Preis für den Eintritt ist 5 Euro.
das Kino ,cinema,Wir sehen heute Abend im Kino einen schönen Film.
das Geschäft ,shop,Die Geschäfte schließen um 18.30 Uhr.
günstig ,cheap,Dort gibt es günstige Angebote.
teuer,expensive,Der Wein ist aber teuer!
kaputt ,broken,Das Glas war teuer. Es geht sehr leicht kaputt.
helfen ,help,"Können Sie mir helfen, bitte?"
das Lokal ,pub,In unserer Straße gibt es ein neues Lokal.
das Hotel ,hotel,Im Urlaub sind wir in einem Hotel am Meer.
die Miete ,rent,Die Miete für diese Wohnung ist 600 Euro.
die Sehenswürdigkeiten,sights to see,Wir haben die Museen und andere Sehenswürdigkeiten der Stadt besucht.
mehr ,more,Dieses Auto kostet 1.000 Euro mehr als das andere.
geöffnet ,open,Der Laden ist samstags bis 16.00 Uhr geöffnet.
die Tasche,bag, Ich habe die Schlüssel in der Tasche.
die Pause ,break,Von 12.00 bis 12.30 Uhr haben wir Mittagspause.
die Post ,post office,"Wo ist die Post, bitte?"
der Preis ,price,Die Preise sind hoch.
die Rechnung,bill,"Die Rechnung, bitte."
der Schlüssel,key,Ich gebe Ihnen noch den Zimmerschlüssel.
reparieren  ,to repair,Ich gebe Ihnen noch den Zimmerschlüssel.
die Reparatur,repair, Die Reparatur ist sehr teuer.
geschlossen ,closed,Die Bank hat am Samstag geschlossen.
zahlen ,to pay,"Zahlen, bitte!"
das Schwimmbad,swimming pool,Kommst du mit ins Schwimmbad?
teuer,expensive,Das ist mir zu teuer.
wenig ,few or llittle,Ich habe leider nur wenig verstanden.
überweisen ,transfer,Sie können das Geld auch überweisen.
übernachten ,stay over,Du kannst bei mir übernachten.
das Zimmer,room,Das Zimmer ist groß.
