German,English,Context
der Arm,arm,Mein Arm tut weh.
das Auge,eye,Er hat blaue Augen.
der Bauch ,stomach,Seit gestern tut mir der Bauch weh.
das Bein,leg,Mein rechtes Bein tut weh.
der Doktor ,doctor,Meine Tochter ist krank. Wir gehen zum Doktor.
der Fuß ,foot,Der linke Fuß tut mir weh.
die Haare ,hair,Sie hat lange Haare.
die Hand,hand, Er gibt mir die Hand.
der Mund,mouth, Öffnen Sie den Mund.
die Gesundheit,health,Das Gemüse ist wichtig für die Gesundheit.
gesund,healthy,Ist das Essen gesund?
die Brust,chest,Mir tut die Brust weh. 
das Ohr,ear,Ich habe Ohrschmerzen.
das Knie,knee,Mir tut das Knie weh.
der Hals,throat,Ich habe Halsweh.
die Nase,nose,Er hat eine große Nase.
der Zeh,toe,Meine Zehenagel sind rot gefarbt.
besser,better,Es geht mir schon besser.
wohl,feel good,Fühlst du dich wohl?
