German,English,Context
der Apfel,apple, Ein Pfund Äpfel bitte
die Banane,banana,"Drei Bananen, bitte!"
die Birne,pear,"Ein Kilo Birnen, bitte!"
das Bier ,beer,Noch ein Bier bitte.
Guten Appetit!,bon appetit,Guten Appetit!
das Brötchen ,breadroll,Möchtest du Brötchen zum Frühstück?
die Butter ,butter,Für mich bitte ein Brötchen mit Butter und Käse.
das Café,café,Sollen wir uns im Café treffen?
durstig,thirsty,Hast du etwas zu trinken? Ich bin durstig.
das Ei,egg,Möchtest du ein Ei zum Frühstück?
essen ,to eat,Was gibt es zu essen?
das Essen,food, Das Essen ist heute sehr gut.
das Obst ,fruit,Im Sommer ist das Obst billig.
das Fleisch ,meat,Fleisch mag ich nicht.
die Flasche,bottle,"Eine Flasche Bier, bitte."
das Gemüse ,vegetables,Gemüse brauchen wir auch noch.
hungrig,hungry,Ich bin hungrig! Wann ist das Essen fertig?
das Getränk,drink,Mein Lieblingsgetränk ist Tomatensaft.
die Küche,kitchen,Mein Lieblingsgetränk ist Tomatensaft.
der Kuchen ,cake,Ich nehme ein Stück Kuchen.
"das Hähnchen,  ",chicken,Ein Hähnchen mit Pommes bitte!
die Milch ,milk,Die Milch steht im Kühlschrank.
der Kaffee,coffee, Zum Frühstück trinke ich immer Kaffee.
das Öl,oil, Den Salat machen wir ohne Öl.
die Karte (Speisekarte),menu,"Ich möchte auch etwas essen. Bringen Sie mir die Karte, bitte"
die Lebensmittel,food,Lebensmittel bekommen Sie im Supermarkt.
der Reis ,rice,Ich esse gern Reis.
das Restaurant,restaurant,Wir essen heute in einem Restaurant.
der Salat ,salad,Wie schmeckt dir der Salat?
das Salz ,salt,"Herr Ober, kann ich bitte Salz haben?"
der Schinken,ham,Ich möchte gern ein Schinkenbrot.
schmecken ,to taste,Schmeckt das gut?
das Glas,glass,Bitte noch ein Glas Wein!
der Tee ,tea,Ich trinke morgens immer Tee.
der Tisch,table,Die Fotos liegen auf dem Tisch.
trinken ,to drink,Möchtest du etwas trinken?
die Toilette,toilet,"Wo ist die Toilette, bitte?"
das Wasser ,water,"Ein Glas Wasser, bitte."
der Wein ,wine,"Nein danke, ich möchte keinen Wein."
die Tomate,tomato, Die Tomate ist noch grün.
