German,English,Context
der Tag,day,Guten Tag!
die Woche,week,Bis nächste Woche!
das Jahr,year,Frohes neues Jahr!
der Monat,month,Wir sehen uns im nächsten Monat.
der Morgen ,morning,Guten Morgen!
der Vormittag,morning,Wir treffen uns am Vormittag.
der Mittag ,midday,Wir essen zur Mittag.
der Nachmittag ,afternoon,Wir treffen uns am Nachmittag.
der Abend,evening,Guten Abend
die Nacht,night,Gute Nacht!
Tageszeiten ,times of day,Zur welchen Tageszeit treffen wir uns?
der Wochentag,weekday,Er arbeitet jeden Wochentag. 
der Sonntag,Sunday,Am Sonntag besuchen wir die Oma.
der Montag,Monday,Am Montag habe ich Geburtstag.
der Dienstag,Tuesday,Am Dienstag gehen wir ins Kino.
der Mittwoch,Wednesday,Am Mittwoch gehen wir essen.
der Donnerstag,Thursday,Am Donnerstag gehen wir einkaufen.
der Freitag,Friday,Am Freitag grillen wir.
der Samstag,Saturday,Am Samstag spielen wir Fußball.
das Wochenende,the weekend,Am Wochenende machen wir einen Ausflug
der Januar ,January,Im Januar habe ich Geburtstag.
der Februar ,February,Ich Februar nehme ich Urlaub.
der März ,March,Im März fahre ich nach Spanien.
der April ,April,Im April ist das Wetter schlect.
der Mai ,May,Im Mai kommt mein Bruder zu Besuch.
der Juni ,June,Im Juni machen wir die Party.
der Juli ,Juli,Im Juli ist es richtig Sommer.
der August ,August,Im August gehen wir schwimmen.
der September ,September,Im September gehen wir wandern.
der Oktober ,October,Im October war ich krank.
der November ,November,Im November hat meine Schwester Geburtstag.
der Dezember ,December,Im Dezember fällt Weinachten.
die Jahreszeiten,the seasons,Ich liebe alle Jahreszeiten.
der Frühling,spring,Sie pflückt Blumen im Frühling.
der Sommer ,summer,Er geht schwimmen im Sommer.
der Herbst ,autumn,Wir suchen Pilze im Herbst
der Winter,winter,Wir fahren im Winter ski.
heute,today,Heute geht es mir schlecht.
gestern,yesterday,Gestern war ich in der Stadt.
morgen,tomorrow,Morgen sehen wir uns.
übermorgen,the day after tomorrow,Übermorgen fängt die Schule wieder an.
Feiertag,public holiday,Montag is Feiertag.
pünktlich ,punctual,Der Bus fährt pünktlich um acht Uhr.
spät ,late,"Es ist schon spät, ich muss gehen."
